7-14 21:53:15,166 : __main__ : ERROR : 127.0.0.1 : T0392511G - Patient T0392511G failed to log in: Incorrect password
2021-07-18 17:29:42,281 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B tried to use the -admin delete- admin functionality to delete account T1234567D
2021-07-18 17:31:09,960 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 17:31:12,429 : __main__ : ERROR    : 127.0.0.1       : T5739128U - Admin T5739128U has used the -admin delete- admin functionality to delete account T1234567F
2021-07-18 17:31:12,436 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 17:31:53,441 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -admin delete- admin functionality to delete account T1234567E
2021-07-18 17:31:53,449 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 17:44:46,284 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 17:44:49,611 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 17:44:51,469 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 17:45:03,862 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 18:02:32,474 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 18:02:34,806 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -admin delete- admin functionality to delete account T1234567D
2021-07-18 18:02:34,813 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-19 18:01:29,101 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-19 18:03:46,513 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-19 18:05:02,126 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567C
2021-07-19 18:05:14,833 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567C
2021-07-19 18:06:32,579 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-19 18:06:43,530 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567C
2021-07-19 18:06:46,933 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -admin delete- admin functionality to delete account T1234567C
2021-07-19 18:06:46,938 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-19 19:59:40,676 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-19 19:59:44,324 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-19 23:33:16,788 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-19 23:35:27,042 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-19 23:43:13,825 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-19 23:43:18,600 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-19 23:44:18,590 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-19 23:44:19,959 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-19 23:46:18,079 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-19 23:46:26,184 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-19 23:47:15,570 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-19 23:48:49,287 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-19 23:49:13,600 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-19 23:51:14,709 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-19 23:52:53,282 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-19 23:53:03,773 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-19 23:53:53,537 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-19 23:53:55,988 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-19 23:56:41,605 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-19 23:56:42,791 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:02:00,397 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B tried to use the -Log Monitoring- admin functionality
2021-07-20 00:02:29,723 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B tried to use the -Log Monitoring- admin functionality
2021-07-20 00:03:09,194 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:04:50,589 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:05:41,299 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:05:41,440 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:05:44,052 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:05:45,558 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:05:46,373 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:05:49,716 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
